[Optimizer: SGD, Hidden-size: 150, Embedding-size: 250, Learning-rate: 0.5]
[Epoch: 1, PPL: 410.4837, Best PPL: 410.4837]
[Epoch: 2, PPL: 343.7177, Best PPL: 343.7177]
[Epoch: 3, PPL: 299.0173, Best PPL: 299.0173]
[Epoch: 4, PPL: 276.3577, Best PPL: 276.3577]
[Epoch: 5, PPL: 265.7412, Best PPL: 265.7412]
[Epoch: 6, PPL: 251.1591, Best PPL: 251.1591]
[Epoch: 7, PPL: 251.3237, Best PPL: 251.1591]
[Epoch: 8, PPL: 236.7420, Best PPL: 236.7420]
[Epoch: 9, PPL: 225.7611, Best PPL: 225.7611]
[Epoch: 10, PPL: 222.8700, Best PPL: 222.8700]
[Epoch: 11, PPL: 221.0654, Best PPL: 221.0654]
[Epoch: 12, PPL: 210.3589, Best PPL: 210.3589]
[Epoch: 13, PPL: 206.8897, Best PPL: 206.8897]
[Epoch: 14, PPL: 204.0794, Best PPL: 204.0794]
[Epoch: 15, PPL: 201.4874, Best PPL: 201.4874]
[Epoch: 16, PPL: 199.3106, Best PPL: 199.3106]
[Epoch: 17, PPL: 196.9979, Best PPL: 196.9979]
[Epoch: 18, PPL: 194.7102, Best PPL: 194.7102]
[Epoch: 19, PPL: 194.9774, Best PPL: 194.7102]
[Epoch: 20, PPL: 192.8104, Best PPL: 192.8104]
[Epoch: 21, PPL: 188.6700, Best PPL: 188.6700]
[Epoch: 22, PPL: 188.9025, Best PPL: 188.6700]
[Epoch: 23, PPL: 187.6210, Best PPL: 187.6210]
[Epoch: 24, PPL: 185.6520, Best PPL: 185.6520]
[Epoch: 25, PPL: 188.9361, Best PPL: 185.6520]
[Epoch: 26, PPL: 185.1857, Best PPL: 185.1857]
[Epoch: 27, PPL: 183.1164, Best PPL: 183.1164]
[Epoch: 28, PPL: 180.5490, Best PPL: 180.5490]
[Epoch: 29, PPL: 181.8132, Best PPL: 180.5490]
[Epoch: 30, PPL: 178.3714, Best PPL: 178.3714]
[Epoch: 31, PPL: 186.0801, Best PPL: 178.3714]
[Epoch: 32, PPL: 177.9794, Best PPL: 177.9794]
[Epoch: 33, PPL: 176.6229, Best PPL: 176.6229]
[Epoch: 34, PPL: 177.3631, Best PPL: 176.6229]
[Epoch: 35, PPL: 177.3581, Best PPL: 176.6229]
[Epoch: 36, PPL: 178.2707, Best PPL: 176.6229]
[Epoch: 37, PPL: 175.7150, Best PPL: 175.7150]
[Epoch: 38, PPL: 177.9426, Best PPL: 175.7150]
[Epoch: 39, PPL: 176.9293, Best PPL: 175.7150]
[Epoch: 40, PPL: 173.3212, Best PPL: 173.3212]
[Epoch: 41, PPL: 173.3544, Best PPL: 173.3212]
[Epoch: 42, PPL: 177.0364, Best PPL: 173.3212]
[Epoch: 43, PPL: 172.9479, Best PPL: 172.9479]
[Epoch: 44, PPL: 173.6981, Best PPL: 172.9479]
[Epoch: 45, PPL: 174.9452, Best PPL: 172.9479]
[Epoch: 46, PPL: 173.8172, Best PPL: 172.9479]
[Epoch: 47, PPL: 177.1029, Best PPL: 172.9479]
[Epoch: 48, PPL: 174.0612, Best PPL: 172.9479]
[Final PPL: 164.6469]
