[Optimizer: SGD, Hidden-size: 200, Embedding-size: 300, Learning-rate: 0.05]
[Epoch: 1, PPL: 770.6348, Best PPL: 770.6348]
[Epoch: 2, PPL: 596.5555, Best PPL: 596.5555]
[Epoch: 3, PPL: 526.2442, Best PPL: 526.2442]
[Epoch: 4, PPL: 482.9958, Best PPL: 482.9958]
[Epoch: 5, PPL: 452.4370, Best PPL: 452.4370]
[Epoch: 6, PPL: 429.6023, Best PPL: 429.6023]
[Epoch: 7, PPL: 410.3930, Best PPL: 410.3930]
[Epoch: 8, PPL: 395.2160, Best PPL: 395.2160]
[Epoch: 9, PPL: 381.9594, Best PPL: 381.9594]
[Epoch: 10, PPL: 370.2767, Best PPL: 370.2767]
[Epoch: 11, PPL: 360.6456, Best PPL: 360.6456]
[Epoch: 12, PPL: 351.5166, Best PPL: 351.5166]
[Epoch: 13, PPL: 343.2219, Best PPL: 343.2219]
[Epoch: 14, PPL: 336.1386, Best PPL: 336.1386]
[Epoch: 15, PPL: 329.2194, Best PPL: 329.2194]
[Epoch: 16, PPL: 323.1333, Best PPL: 323.1333]
[Epoch: 17, PPL: 317.5718, Best PPL: 317.5718]
[Epoch: 18, PPL: 312.7168, Best PPL: 312.7168]
[Epoch: 19, PPL: 307.3696, Best PPL: 307.3696]
[Epoch: 20, PPL: 302.7076, Best PPL: 302.7076]
[Epoch: 21, PPL: 298.5825, Best PPL: 298.5825]
[Epoch: 22, PPL: 294.7299, Best PPL: 294.7299]
[Epoch: 23, PPL: 291.0783, Best PPL: 291.0783]
[Epoch: 24, PPL: 287.1851, Best PPL: 287.1851]
[Epoch: 25, PPL: 283.8694, Best PPL: 283.8694]
[Epoch: 26, PPL: 280.3536, Best PPL: 280.3536]
[Epoch: 27, PPL: 277.5928, Best PPL: 277.5928]
[Epoch: 28, PPL: 274.6476, Best PPL: 274.6476]
[Epoch: 29, PPL: 271.6336, Best PPL: 271.6336]
[Epoch: 30, PPL: 268.8604, Best PPL: 268.8604]
[Epoch: 31, PPL: 266.3190, Best PPL: 266.3190]
[Epoch: 32, PPL: 264.1332, Best PPL: 264.1332]
[Epoch: 33, PPL: 261.8164, Best PPL: 261.8164]
[Epoch: 34, PPL: 259.3729, Best PPL: 259.3729]
[Epoch: 35, PPL: 257.2145, Best PPL: 257.2145]
[Epoch: 36, PPL: 255.6263, Best PPL: 255.6263]
[Epoch: 37, PPL: 253.0341, Best PPL: 253.0341]
[Epoch: 38, PPL: 251.0170, Best PPL: 251.0170]
[Epoch: 39, PPL: 249.8935, Best PPL: 249.8935]
[Epoch: 40, PPL: 248.7670, Best PPL: 248.7670]
[Epoch: 41, PPL: 245.9578, Best PPL: 245.9578]
[Epoch: 42, PPL: 246.0708, Best PPL: 245.9578]
[Epoch: 43, PPL: 243.0419, Best PPL: 243.0419]
[Epoch: 44, PPL: 241.3022, Best PPL: 241.3022]
