[Optimizer: SGD, Hidden-size: 200, Embedding-size: 250, Learning-rate: 0.05]
[Epoch: 1, PPL: 779.9641, Best PPL: 779.9641]
[Epoch: 2, PPL: 599.7780, Best PPL: 599.7780]
[Epoch: 3, PPL: 528.6883, Best PPL: 528.6883]
[Epoch: 4, PPL: 486.1396, Best PPL: 486.1396]
[Epoch: 5, PPL: 456.4212, Best PPL: 456.4212]
[Epoch: 6, PPL: 433.1922, Best PPL: 433.1922]
[Epoch: 7, PPL: 414.7303, Best PPL: 414.7303]
[Epoch: 8, PPL: 399.8897, Best PPL: 399.8897]
[Epoch: 9, PPL: 387.1647, Best PPL: 387.1647]
[Epoch: 10, PPL: 375.8214, Best PPL: 375.8214]
[Epoch: 11, PPL: 366.4125, Best PPL: 366.4125]
[Epoch: 12, PPL: 357.6396, Best PPL: 357.6396]
[Epoch: 13, PPL: 349.4647, Best PPL: 349.4647]
[Epoch: 14, PPL: 342.0787, Best PPL: 342.0787]
[Epoch: 15, PPL: 335.3654, Best PPL: 335.3654]
[Epoch: 16, PPL: 329.1733, Best PPL: 329.1733]
[Epoch: 17, PPL: 323.0873, Best PPL: 323.0873]
[Epoch: 18, PPL: 317.8351, Best PPL: 317.8351]
[Epoch: 19, PPL: 312.8984, Best PPL: 312.8984]
[Epoch: 20, PPL: 307.9853, Best PPL: 307.9853]
[Epoch: 21, PPL: 303.7260, Best PPL: 303.7260]
[Epoch: 22, PPL: 299.3805, Best PPL: 299.3805]
[Epoch: 23, PPL: 295.5558, Best PPL: 295.5558]
[Epoch: 24, PPL: 291.7013, Best PPL: 291.7013]
[Epoch: 25, PPL: 288.4229, Best PPL: 288.4229]
[Epoch: 26, PPL: 285.0074, Best PPL: 285.0074]
[Epoch: 27, PPL: 281.5919, Best PPL: 281.5919]
[Epoch: 28, PPL: 278.7358, Best PPL: 278.7358]
[Epoch: 29, PPL: 275.9998, Best PPL: 275.9998]
[Epoch: 30, PPL: 273.0747, Best PPL: 273.0747]
[Epoch: 31, PPL: 270.7249, Best PPL: 270.7249]
[Epoch: 32, PPL: 268.1373, Best PPL: 268.1373]
[Epoch: 33, PPL: 265.8487, Best PPL: 265.8487]
[Epoch: 34, PPL: 263.3842, Best PPL: 263.3842]
[Epoch: 35, PPL: 261.2284, Best PPL: 261.2284]
[Epoch: 36, PPL: 258.9343, Best PPL: 258.9343]
[Epoch: 37, PPL: 257.1152, Best PPL: 257.1152]
[Epoch: 38, PPL: 256.2860, Best PPL: 256.2860]
